seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081001	18081120	120	*	X00115	81569	18081808	18153558	71751	+	687	upstream	687	ACTL8
chr1	19621946	19622051	106	*	X00132	100506730	19619741	19622230	2490	-	0	inside	178	LOC100506730
chr1	28241601	28241720	120	*	X00168	6118	28218049	28241236	23188	-	364	upstream	364	RPA2
chr1	40942953	40943145	193	*	X00208	339559	40943302	40962015	18714	+	156	upstream	156	ZFP69
chr1	40943598	40943822	225	*	X00209	339559	40943302	40962015	18714	+	0	inside	295	ZFP69
chr1	40974110	40974200	91	*	X00219	64789	40974433	40982214	7782	+	232	upstream	232	EXO5
chr1	40995185	40995319	135	*	X00224	127396	40997233	41013841	16609	+	1913	upstream	1913	ZNF684
chr1	40996625	40996740	116	*	X00225	127396	40997233	41013841	16609	+	492	upstream	492	ZNF684
chr1	46858574	46858723	150	*	X00262	2166	46859939	46879520	19582	+	1215	upstream	1215	FAAH
chr1	46859669	46859833	165	*	X00263	2166	46859939	46879520	19582	+	105	upstream	105	FAAH
chr1	46859924	46860043	120	*	X00264	2166	46859939	46879520	19582	+	0	overlapStart	0	FAAH
chr1	46860194	46860245	52	*	X00265	2166	46859939	46879520	19582	+	0	inside	254	FAAH
chr1	71547539	71547658	120	*	X00363	9406	71528974	71546972	17999	-	566	upstream	566	ZRANB2
chr1	94376379	94376482	104	*	X00411	2730	94352590	94375012	22423	-	1366	upstream	1366	GCLM
chr1	116183857	116184001	145	*	X00467	81839	116184574	116240845	56272	+	572	upstream	572	VANGL1
chr1	146649639	146649699	61	*	X00482	171423	146649430	146651528	2099	+	0	inside	208	PDIA3P1
chr1	146989650	146989769	120	*	X00489	100289211	146853914	146989699	135786	-	0	overlapStart	0	LINC00624
chr1	152118704	152118853	150	*	X00508	7062	152078793	152117706	38914	-	997	upstream	997	TCHH
chr1	161017567	161017806	240	*	X00559	7391	161009041	161015769	6729	-	1797	upstream	1797	USF1
chr1	161227116	161227250	135	*	X00563	654790	161228517	161255240	26724	+	1266	upstream	1266	PCP4L1
chr1	161227669	161227803	135	*	X00564	654790	161228517	161255240	26724	+	713	upstream	713	PCP4L1
chr1	205527689	205527853	165	*	X00821	284578	205523401	205525763	2363	-	1925	upstream	1925	MFSD4A-AS1
chr1	213022398	213022517	120	*	X00879	149643	213003485	213020991	17507	-	1406	upstream	1406	SPATA45
chr1	223565633	223565782	150	*	X00949	164127	223566715	223568812	2098	+	932	upstream	932	CCDC185
chr1	227749193	227749338	146	*	X01010	339500	227751220	227910352	159133	+	1881	upstream	1881	ZNF678
chr1	227749408	227749462	55	*	X01011	339500	227751220	227910352	159133	+	1757	upstream	1757	ZNF678
chr1	227749664	227750008	345	*	X01012	339500	227751220	227910352	159133	+	1211	upstream	1211	ZNF678
